spu_code	status
PBY_0Q51	2
PBY_0Q5X	2
PBY_0Q5V	2
PBY_0Q5L	2
PBY_0Q5N	2
PBY_0Q5R	2
PBY_0Q5S	2
PBY_0Q5T	2
PBY_0Q5K	2
PBY_0Q5H	2
PBY_0Q5G	2
PHO_08P0	2
PBY_0Q63	2
PBY_0P1R	2
PBY_0Q5Y	2
PBY_0Q5Z	2
PBY_0Q60	2
PBY_0Q62	2
PHO_03OL	2
PTO_00ZP	2
PTO_0ASV	0
PTO_07X6	2
PAU_062A	2
PHO_06TD	2
PBY_0CJD	2
PHO_0DH4	2
PHO_0DD6	2
PEL_04VP	2
PBY_0C7P	2
PBY_0DIG	2
PBY_0EAZ	2
A05SZODWSJT0	0
PHO_0COV	0
PBY_0FDZ	2
POU_03KT	2
PTO_04YG	2
PHO_0HE8	2
POU_04I8	2
PEL_08B9	2
PBY_0CE7	2
FQ1TO_GX0BD	2
PHO_0BXJ	2
PHO_0B3E	2
PHO_0BJG	2
PHO_04VQ	2
PHO_0GE6	2
PHO_0ACR	2
PHO_03I3	2
PAU_042S	2
FQ1TO_N40PA	4
PHO_077I	2
PHO_0CVM	2
PBE_0A6M	2
PHO_061L	2
PHO_0G1Z	2
PEL_00LD	2
PBE_0A6L	2
PBE_0A6N	2
PEL_02OP	2
PEL_004D	2
PEL_0AVS	2
PBE_061Z	2
HO10700O8711	2
PBY_0FJG	2
PBY_0HQ6	2
PEL_06RP	2
PHO_0DUJ	2
POU_0031	2
PH10700207Y5	2
PEL_065R	2
PST_02G0	2
PBY_0679	2
PTO_06F2	2
PBY_0EC3	2
PBE_0667	4
PBY_0J2W	2
PBY_0CH9	2
POU_02MG	2
PBY_0DG3	2
PHO_0BKE	2
PHO_07NU	2
PHO_06N5	2
PHO_07OH	2
PHO_0DOX	2
PBY_09M3	2
PHO_07C1	2
PTO_05EC	2
PEL_08V9	2
POU_03MS	2
FQ1TO_5AYRT	2
PBY_0RG3	2
POU_0850	2
PTO_0BD2	2
PTO_06EY	2
POU_05JP	2
ST107043W037	2
PBY_0B9B	2
PHO_0BXI	2
PAU_057Z	2
PBE_06SJ	2
POU_0819	0
PTO_01XP	2
PHO_02O1	2
PHO_075S	2
FQ1TO_G0PSP	2
PEL_01E7	2
PEL_0BV4	2
PHO_0731	2
PEL_073T	2
HO10709W2HDP	2
PHO_07O8	2
PHO_024M	2
POU_03D8	2
PEL_04LB	2
PEL_0DJR	2
PTO_05CC	2
PHO_07QY	2
PEL_00N8	2
PAU_04DT	2
PHO_07E5	2
PBY_0FAM	2
PHO_0FKX	2
PAU_01LJ	2
PBY_0PCV	2
PBY_0C8J	2
PBY_0H31	2
PTO_06RB	2
PBY_0DO9	2
PHO_05RA	2
PEL_0CKV	0
PBY_0B7H	2
PBY_0G3U	2
POU_022C	2
PHO_0053	2
PBY_0IFW	2
PTO_095T	2
PHO_0DWM	2
PBY_0HMC	2
PTO_075J	2
PBY_0FZT	4
PHO_07WC	2
PEL_034I	2
PEL_089L	2
PEL_0C57	2
PHO_0C8T	2
PBY_0C8P	2
PEL_08GM	4
PEL_028P	2
PEL_0B55	2
PHO_0G2O	2
PEL_067B	2
PHO_06EZ	2
PEL_03ZL	2
PEL_0B7Q	2
PEL_06O4	2
PHO_0EJT	2
PEL_024M	2
PTO_09HX	2
PBY_0JWH	2
PCL_003F	2
PBY_0LCZ	2
PHO_0I00	2
PHO_0FKY	2
PBY_0C8S	2
PEL_07P5	2
PBE_02X3	2
PEL_07JP	2
PBE_09E3	2
PHO_00RM	2
PEL_08JF	4
PAU_064J	2
PHO_0A9V	2
PEL_0565	2
PEL_0476	2
PEL_062S	2
PBE_09AS	2
PEL_03PB	2
PEL_0489	2
PEL_05FU	2
PAU_03B2	2
